field,value
rows,260
cols,276
exp_time,12000
exp_unit,38500
ccd_temp1,-7.6712
lua_timestamp,1774026192445
adcs_timestamp,0
utc_timestamp,2026-03-20T17:03:12.445000+00:00
attitude_quadternion,"[0.0, 0.0, 0.0, 1.0]"
pointing_error,"[0.0, 0.0, 0.0, 1.0]"
spacecraft_position,"[0.0, 0.0, 0.0]"
spacecraft_velocity,"[0.0, 0.0, 0.0]"
spacecraft_latitude,0.0
spacecraft_longitude,0.0
spacecraft_altitude,0.0
etalon_temps,"[0.0, 0.0, 0.0, 0.0]"
gpio_pwr_on,"[1, 0, 0, 1]"
shutter_status,closed
lamp_ch_array,"[1, 1, 1, 1, 1, 1]"
lamp1_status,on
lamp2_status,on
lamp3_status,on
img_type,cal
